Source,Station,Latitude,Longitude,Region,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos,Chlorophyll_Sign,Chlorophyll,Microcystis
USGS_CAWSC,USGS-381424121405601,38.23989167,-121.6821556,Cache/Liberty,2020-08-17,2020-08-17 17:44:00,=,0.12,=,0.155,=,0.082,=,NA,NA
USGS_CAWSC,USGS-11313460,38.05944444,-121.5572222,Lower SJ,2020-07-28,2020-07-28 09:05:00,< (estimated),0.01,=,NA,=,0.055,=,NA,NA
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417,Cache/Liberty,2021-09-09,2021-09-09 11:45:00,< (estimated),0.01,=,0.01,=,0.12,=,NA,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-07-27,2021-07-27 11:35:00,=,0.02,=,0.1,=,0.08,=,0.7,NA
USGS_CAWSC,USGS-11447890,38.25769218,-121.5182865,Upper Sac,2020-07-27,2020-07-27 11:25:00,=,0.26,< (estimated),0.04,=,0.053,=,NA,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2020-01-30,2020-01-30 10:30:00,=,NA,=,NA,=,NA,=,3.7,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-07-21,2021-07-21 11:40:00,< (estimated),0.01,=,0.04,=,0.095,=,NA,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2020-11-04,2020-11-04 18:30:00,=,NA,=,NA,=,NA,=,0.7,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2021-07-28,2021-07-28 11:40:00,=,0.03,=,0.14,=,0.046,=,1.5,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2020-06-09,2020-06-09 13:35:00,=,0.1,=,0.224,=,0.096,=,0.7,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2020-09-23,2020-09-23 10:30:00,=,0.04,=,0.254,=,0.084,=,3.8,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-08-23,2021-08-23 11:43:00,< (estimated),0.01,< (estimated),0.01,=,0.062,=,1.5,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-08-02,2021-08-02 10:00:00,=,0.03,=,0.05,=,0.096,=,NA,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-10-06,2021-10-06 10:45:00,< (estimated),0.01,=,0.09,=,0.069,=,NA,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2020-07-09,2020-07-09 10:00:00,=,0.11,=,0.17,=,0.062,=,0.9,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2020-01-30,2020-01-30 10:15:00,=,NA,=,NA,=,NA,=,0.7,NA
USGS_CAWSC,USGS-11313405,37.96992306,-121.572174,OMR,2021-10-07,2021-10-07 08:06:00,=,0.02,=,0.06,=,0.057,=,1.8,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2020-06-16,2020-06-16 14:00:00,=,0.14,=,0.223,=,0.084,=,1.2,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2021-04-27,2021-04-27 11:00:00,=,0.03,=,0.22,=,0.076,=,NA,NA
USGS_CAWSC,USGS-11336685,38.2233333,-121.5072222,East Delta,2021-07-28,2021-07-28 08:50:00,=,0.03,=,0.19,=,0.028,=,1.7,NA
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417,Cache/Liberty,2021-07-01,2021-07-01 13:45:00,=,0.03,=,0.08,=,0.114,=,6.1,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-07-28,2021-07-28 13:00:00,=,0.02,=,0.06,=,0.105,=,6.6,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2021-09-23,2021-09-23 12:45:00,< (estimated),0.01,=,0.01,=,0.087,=,1.4,NA
USGS_CAWSC,USGS-11312672,37.8708333,-121.53,OMR,2020-07-07,2020-07-07 10:50:00,=,0.01,=,0.133,=,0.088,=,4.8,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2020-10-28,2020-10-28 12:00:00,=,NA,=,NA,=,NA,=,1.4,NA
