Date,Region,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2019-07-28,Clifton Court Forebay,65,0,0,0,0,44
2019-07-28,Liberty Island,112,0,0,0,0,32
2019-07-31,Franks Tract,130,0,0,0,0,36
2019-07-31,Mildred Island,25,0,0,0,0,17
2019-07-31,Clifton Court Forebay,78,0,0,0,0,31
2019-07-31,Liberty Island,114,0,0,0,0,30
2019-08-01,Franks Tract,109,0,0,0,0,57
2019-08-01,Mildred Island,20,0,0,0,0,22
2019-08-01,Clifton Court Forebay,74,0,0,0,0,35
2019-08-01,Liberty Island,107,0,0,0,0,37
2019-08-04,Franks Tract,117,0,0,0,0,49
2019-08-04,Mildred Island,21,0,0,0,0,21
2019-08-04,Clifton Court Forebay,80,0,0,0,0,29
2019-08-04,Liberty Island,104,0,0,0,0,40
2019-08-05,Mildred Island,11,0,0,0,0,31
2019-08-05,Liberty Island,93,0,0,0,0,51
2019-08-07,Liberty Island,107,0,0,0,0,37
2019-08-08,Franks Tract,106,0,0,0,0,60
2019-08-08,Mildred Island,16,0,0,0,0,26
2019-08-08,Clifton Court Forebay,80,1,0,0,0,28
2019-08-08,Liberty Island,109,0,0,0,0,35
2019-08-11,Franks Tract,99,0,0,0,0,67
2019-08-11,Mildred Island,23,0,0,0,0,19
2019-08-11,Clifton Court Forebay,69,0,0,0,0,40
2019-08-11,Liberty Island,107,0,3,0,0,34
2019-08-12,Franks Tract,135,0,0,0,0,31
2019-08-12,Mildred Island,22,0,0,0,0,20
2019-08-12,Clifton Court Forebay,83,0,1,0,0,25
2019-08-12,Liberty Island,111,0,0,0,0,33
2019-08-13,Franks Tract,97,0,0,0,0,69
2019-08-13,Clifton Court Forebay,58,0,0,0,0,51
2019-08-13,Liberty Island,99,0,0,0,0,45
2019-08-15,Franks Tract,134,0,0,0,0,32
2019-08-15,Mildred Island,23,0,0,0,0,19
2019-08-15,Clifton Court Forebay,78,0,0,0,0,31
2019-08-15,Liberty Island,109,0,0,0,0,35
2019-08-16,Franks Tract,131,0,0,0,0,35
2019-08-16,Mildred Island,18,0,0,0,0,24
2019-08-16,Clifton Court Forebay,83,1,0,1,0,24
2019-08-16,Liberty Island,109,0,0,0,0,35
2019-08-19,Franks Tract,123,0,0,0,0,43
2019-08-19,Mildred Island,24,0,0,0,0,18
2019-08-19,Clifton Court Forebay,84,0,0,0,0,25
2019-08-19,Liberty Island,109,0,0,0,0,35
2019-08-20,Franks Tract,76,0,0,0,0,90
2019-08-20,Clifton Court Forebay,80,0,0,0,0,29
2019-08-20,Liberty Island,96,0,0,1,0,47
2019-08-23,Franks Tract,123,0,0,0,0,43
2019-08-23,Mildred Island,25,0,0,0,0,17
2019-08-23,Clifton Court Forebay,78,0,0,0,0,31
2019-08-23,Liberty Island,104,0,0,0,0,40
2019-08-24,Franks Tract,66,0,0,0,0,100
2019-08-24,Mildred Island,16,0,0,0,0,26
2019-08-24,Clifton Court Forebay,48,0,0,0,0,61
2019-08-24,Liberty Island,89,0,0,0,0,55
2019-08-27,Franks Tract,129,0,0,0,0,37
2019-08-27,Mildred Island,13,0,0,0,0,29
2019-08-27,Clifton Court Forebay,71,0,1,0,0,37
2019-08-27,Liberty Island,103,0,0,4,0,37
2019-08-28,Franks Tract,56,0,0,0,0,110
2019-08-28,Mildred Island,15,0,0,0,0,27
2019-08-28,Liberty Island,66,0,0,1,0,77
2019-08-31,Franks Tract,129,0,0,0,0,37
2019-08-31,Mildred Island,19,0,0,0,0,23
2019-08-31,Clifton Court Forebay,78,1,0,0,0,30
2019-08-31,Liberty Island,101,0,2,1,0,40
2019-09-03,Liberty Island,111,1,1,0,0,31
2019-09-04,Mildred Island,19,0,0,0,0,23
2019-09-04,Liberty Island,72,0,0,0,0,72
2019-09-05,Clifton Court Forebay,52,0,0,0,0,57
2019-09-08,Franks Tract,126,0,0,0,0,40
2019-09-08,Mildred Island,20,0,0,0,0,22
2019-09-08,Clifton Court Forebay,79,0,0,0,0,30
2019-09-08,Liberty Island,99,0,1,0,0,44
2019-09-09,Franks Tract,91,0,0,0,0,75
2019-09-09,Clifton Court Forebay,37,0,0,0,0,72
2019-09-09,Liberty Island,82,0,3,4,0,55
2019-09-11,Franks Tract,138,0,0,0,0,28
2019-09-11,Mildred Island,20,0,0,0,0,22
2019-09-11,Clifton Court Forebay,81,1,0,0,0,27
2019-09-11,Liberty Island,109,0,0,2,0,33
2019-09-12,Franks Tract,129,0,0,0,0,37
2019-09-12,Mildred Island,20,0,0,0,0,22
2019-09-12,Clifton Court Forebay,64,0,0,0,0,45
2019-09-12,Liberty Island,104,0,1,1,0,38
2019-09-15,Franks Tract,140,0,0,0,0,26
2019-09-15,Mildred Island,24,0,0,0,0,18
2019-09-15,Clifton Court Forebay,81,1,2,1,0,24
2019-09-15,Liberty Island,97,0,9,4,0,34
2019-09-16,Franks Tract,98,0,0,0,0,68
2019-09-16,Clifton Court Forebay,71,0,0,0,0,38
2019-09-16,Liberty Island,95,2,3,5,0,39
2019-09-19,Franks Tract,113,0,1,0,0,52
2019-09-19,Mildred Island,19,0,0,0,0,23
2019-09-19,Clifton Court Forebay,79,0,3,1,0,26
2019-09-19,Liberty Island,86,0,2,4,0,52
2019-09-20,Franks Tract,92,0,0,0,0,74
2019-09-20,Mildred Island,18,0,0,0,0,24
2019-09-20,Clifton Court Forebay,58,0,6,1,0,44
2019-09-20,Liberty Island,83,0,0,0,0,61
2019-09-23,Franks Tract,127,0,0,0,0,39
2019-09-23,Mildred Island,23,0,0,0,0,19
2019-09-23,Clifton Court Forebay,73,0,4,0,0,32
2019-09-23,Liberty Island,105,0,0,0,0,39
2019-09-24,Franks Tract,112,0,0,0,0,54
2019-09-24,Mildred Island,13,0,0,0,0,29
2019-09-24,Clifton Court Forebay,66,0,1,0,0,42
2019-09-24,Liberty Island,100,0,0,0,0,44
2019-09-27,Clifton Court Forebay,73,0,0,0,0,36
2019-09-28,Franks Tract,105,0,0,2,0,59
2019-09-28,Clifton Court Forebay,57,0,7,0,0,45
2019-09-30,Liberty Island,97,0,3,3,0,41
2019-10-01,Franks Tract,126,0,0,2,0,38
2019-10-01,Mildred Island,18,0,0,0,0,24
2019-10-01,Clifton Court Forebay,68,2,7,0,0,32
2019-10-01,Liberty Island,102,0,2,4,0,36
2019-10-02,Franks Tract,99,0,0,0,0,67
2019-10-02,Clifton Court Forebay,68,0,1,2,0,38
2019-10-02,Liberty Island,83,0,6,0,0,55
2019-10-04,Franks Tract,115,1,2,1,0,47
2019-10-04,Mildred Island,23,0,0,0,0,19
2019-10-04,Clifton Court Forebay,72,1,8,0,0,28
2019-10-04,Liberty Island,96,3,6,2,0,37
2019-10-05,Franks Tract,118,0,0,0,0,48
2019-10-05,Mildred Island,22,0,0,0,0,20
2019-10-05,Clifton Court Forebay,77,0,3,1,0,28
2019-10-05,Liberty Island,105,0,0,0,0,39
2019-10-06,Franks Tract,84,0,0,0,0,82
2019-10-06,Clifton Court Forebay,52,0,2,5,0,50
2019-10-06,Liberty Island,71,0,1,0,0,72
2019-10-08,Franks Tract,132,0,0,1,0,33
2019-10-08,Mildred Island,23,0,0,0,0,19
2019-10-08,Clifton Court Forebay,69,0,4,5,0,31
2019-10-08,Liberty Island,89,0,0,0,0,55
2019-10-09,Franks Tract,118,0,2,3,0,43
2019-10-09,Mildred Island,21,0,0,0,0,21
2019-10-09,Clifton Court Forebay,64,0,9,10,0,26
2019-10-09,Liberty Island,94,0,5,14,0,31
2019-10-12,Franks Tract,130,0,1,3,0,32
2019-10-12,Mildred Island,21,0,0,0,0,21
2019-10-12,Clifton Court Forebay,64,0,7,11,0,27
2019-10-12,Liberty Island,109,0,1,2,0,32
2019-10-13,Franks Tract,119,0,1,4,0,42
2019-10-13,Mildred Island,16,0,0,0,0,26
2019-10-13,Clifton Court Forebay,65,0,4,10,0,30
2019-10-13,Liberty Island,107,0,2,4,0,31
2019-10-16,Clifton Court Forebay,33,0,2,5,0,69
2019-10-17,Franks Tract,105,0,0,0,0,61
2019-10-17,Mildred Island,20,0,0,0,0,22
2019-10-17,Clifton Court Forebay,59,0,8,7,0,35
2019-10-17,Liberty Island,61,2,0,2,0,79
2019-10-20,Franks Tract,117,0,1,0,0,48
2019-10-20,Mildred Island,25,0,0,0,0,17
2019-10-20,Clifton Court Forebay,79,0,2,1,0,27
2019-10-20,Liberty Island,109,0,0,0,0,35
2019-10-21,Franks Tract,99,0,2,0,0,65
2019-10-21,Mildred Island,15,0,0,0,0,27
2019-10-21,Clifton Court Forebay,75,0,0,1,0,33
2019-10-21,Liberty Island,102,0,0,0,0,42
2019-10-24,Franks Tract,121,0,0,1,0,44
2019-10-24,Mildred Island,21,0,0,0,0,21
2019-10-24,Clifton Court Forebay,74,0,7,0,0,28
2019-10-24,Liberty Island,99,0,0,0,0,45
2019-10-25,Franks Tract,117,0,0,1,0,48
2019-10-25,Mildred Island,12,0,0,0,0,30
2019-10-25,Clifton Court Forebay,59,0,5,2,0,43
2019-10-25,Liberty Island,99,0,0,0,0,45
2019-10-27,Liberty Island,99,0,0,11,0,34
2019-10-28,Franks Tract,143,0,0,1,0,22
2019-10-28,Mildred Island,23,0,0,0,0,19
2019-10-28,Clifton Court Forebay,77,1,9,2,0,20
2019-10-28,Liberty Island,117,0,0,1,0,26
2019-10-29,Franks Tract,109,0,0,0,0,57
2019-10-29,Mildred Island,12,0,0,0,0,30
2019-10-29,Clifton Court Forebay,75,0,0,0,0,34
2019-10-29,Liberty Island,104,0,5,3,0,32
2019-10-31,Franks Tract,124,0,0,0,0,42
2019-10-31,Mildred Island,23,0,0,0,0,19
2019-10-31,Clifton Court Forebay,81,1,5,0,0,22
2019-10-31,Liberty Island,115,0,1,2,0,26
2020-06-01,Mildred Island,12,0,0,0,0,30
2020-06-01,Clifton Court Forebay,63,0,0,0,0,46
2020-06-01,Liberty Island,97,0,0,0,0,47
2020-06-03,Franks Tract,59,0,0,0,0,107
2020-06-03,Clifton Court Forebay,28,0,0,0,0,81
2020-06-03,Liberty Island,102,0,0,0,0,42
2020-06-04,Franks Tract,136,0,0,0,0,30
2020-06-04,Mildred Island,20,0,0,0,0,22
2020-06-04,Clifton Court Forebay,77,0,0,0,0,32
2020-06-04,Liberty Island,121,0,0,0,0,23
2020-06-05,Franks Tract,80,0,0,0,0,86
2020-06-05,Mildred Island,18,0,0,0,0,24
2020-06-05,Clifton Court Forebay,67,0,0,0,0,42
2020-06-05,Liberty Island,106,0,0,0,0,38
2020-06-07,Franks Tract,109,0,2,1,0,54
2020-06-07,Liberty Island,114,0,0,1,0,29
2020-06-08,Franks Tract,140,0,0,0,0,26
2020-06-08,Mildred Island,24,0,0,0,0,18
2020-06-08,Clifton Court Forebay,90,0,2,0,0,17
2020-06-08,Liberty Island,123,0,0,0,0,21
2020-06-11,Franks Tract,130,0,0,0,0,36
2020-06-11,Clifton Court Forebay,82,0,0,1,0,26
2020-06-11,Liberty Island,103,0,0,0,0,41
2020-06-15,Liberty Island,76,0,0,0,0,68
2020-06-16,Franks Tract,136,0,0,0,0,30
2020-06-16,Mildred Island,14,0,0,0,0,28
2020-06-16,Clifton Court Forebay,79,0,1,1,0,28
2020-06-16,Liberty Island,121,0,0,0,0,23
2020-06-19,Franks Tract,139,0,0,0,0,27
2020-06-19,Mildred Island,23,0,0,0,0,19
2020-06-19,Clifton Court Forebay,86,0,0,1,0,22
2020-06-19,Liberty Island,121,0,0,0,0,23
2020-06-20,Franks Tract,114,0,0,0,0,52
2020-06-20,Mildred Island,14,0,0,0,0,28
2020-06-20,Clifton Court Forebay,74,2,0,2,0,31
2020-06-20,Liberty Island,94,0,0,0,0,50
2020-06-23,Franks Tract,112,0,0,0,0,54
2020-06-23,Mildred Island,18,0,0,0,0,24
2020-06-23,Clifton Court Forebay,78,0,0,3,0,28
2020-06-23,Liberty Island,114,0,0,0,0,30
2020-06-24,Franks Tract,95,0,0,0,0,71
2020-06-24,Clifton Court Forebay,69,0,1,2,0,37
2020-06-24,Liberty Island,98,0,0,0,0,46
2020-06-27,Franks Tract,114,0,0,0,0,52
2020-06-27,Mildred Island,15,0,0,0,0,27
2020-06-27,Clifton Court Forebay,62,1,2,19,0,25
2020-06-27,Liberty Island,106,0,0,0,0,38
2020-06-28,Franks Tract,54,0,0,0,0,112
2020-06-28,Clifton Court Forebay,62,0,5,17,0,25
2020-06-28,Liberty Island,81,0,0,0,0,63
2020-06-30,Franks Tract,104,0,0,1,0,61
2020-06-30,Mildred Island,12,0,2,0,0,28
2020-06-30,Clifton Court Forebay,57,0,6,20,1,25
2020-06-30,Liberty Island,98,0,0,0,0,46
2020-07-01,Franks Tract,134,0,0,0,0,32
2020-07-01,Mildred Island,16,0,2,0,0,24
2020-07-01,Clifton Court Forebay,49,4,9,19,3,25
2020-07-01,Liberty Island,119,0,0,0,0,25
2020-07-02,Franks Tract,103,0,0,0,0,63
2020-07-02,Mildred Island,11,0,0,0,0,31
2020-07-02,Clifton Court Forebay,45,0,5,23,0,36
2020-07-02,Liberty Island,109,0,0,0,0,35
2020-07-04,Franks Tract,132,1,1,0,0,32
2020-07-04,Mildred Island,19,0,0,0,0,23
2020-07-04,Clifton Court Forebay,44,0,5,16,2,42
2020-07-04,Liberty Island,119,0,0,0,0,25
2020-07-05,Franks Tract,141,0,0,0,0,25
2020-07-05,Mildred Island,22,0,4,0,0,16
2020-07-05,Clifton Court Forebay,59,2,0,19,2,27
2020-07-05,Liberty Island,118,0,0,0,0,26
2020-07-08,Franks Tract,124,0,0,0,0,42
2020-07-08,Mildred Island,28,0,0,0,0,14
2020-07-08,Clifton Court Forebay,62,1,1,12,9,24
2020-07-08,Liberty Island,120,0,0,0,0,24
2020-07-09,Franks Tract,125,0,0,0,0,41
2020-07-09,Mildred Island,9,1,3,6,0,23
2020-07-09,Clifton Court Forebay,54,3,4,12,9,27
2020-07-09,Liberty Island,110,0,0,0,0,34
2020-07-12,Franks Tract,135,0,0,0,0,31
2020-07-12,Mildred Island,13,0,12,5,0,12
2020-07-12,Clifton Court Forebay,41,5,14,17,12,20
2020-07-12,Liberty Island,115,0,0,0,0,29
2020-07-13,Franks Tract,116,0,0,0,0,50
2020-07-13,Mildred Island,7,2,2,11,0,20
2020-07-13,Clifton Court Forebay,33,8,13,27,2,26
2020-07-13,Liberty Island,102,0,0,0,0,42
2020-07-16,Franks Tract,116,0,0,0,0,50
2020-07-16,Mildred Island,13,0,1,0,0,28
2020-07-16,Clifton Court Forebay,56,1,9,13,3,27
2020-07-16,Liberty Island,107,0,0,0,0,37
2020-07-17,Franks Tract,131,0,0,0,0,35
2020-07-17,Clifton Court Forebay,41,8,11,22,0,27
2020-07-17,Liberty Island,108,0,0,0,0,36
2020-07-20,Franks Tract,116,0,0,0,0,50
2020-07-20,Clifton Court Forebay,45,5,13,18,0,28
2020-07-20,Liberty Island,106,0,0,0,0,38
2020-07-21,Franks Tract,47,0,0,0,0,119
2020-07-23,Liberty Island,43,0,0,0,0,101
2020-07-24,Franks Tract,76,0,0,0,0,90
2020-07-24,Mildred Island,5,0,0,10,0,27
2020-07-24,Clifton Court Forebay,51,1,25,4,0,28
2020-07-24,Liberty Island,99,0,0,0,0,45
2020-07-25,Franks Tract,48,0,0,0,0,118
2020-07-25,Clifton Court Forebay,44,0,7,6,0,52
2020-07-25,Liberty Island,54,0,0,0,0,90
2020-07-27,Franks Tract,94,0,0,0,0,72
2020-07-27,Mildred Island,23,0,0,0,0,19
2020-07-27,Clifton Court Forebay,62,0,2,1,0,44
2020-07-27,Liberty Island,103,0,0,0,0,41
2020-07-28,Clifton Court Forebay,71,4,4,4,0,26
2020-07-28,Liberty Island,102,0,0,0,0,42
2020-07-29,Franks Tract,98,0,0,0,0,68
2020-07-29,Clifton Court Forebay,66,0,4,0,0,39
2020-07-29,Liberty Island,92,0,0,0,0,52
2020-07-31,Franks Tract,128,0,3,3,0,32
2020-07-31,Mildred Island,22,0,1,0,0,19
2020-07-31,Clifton Court Forebay,76,2,4,2,0,25
2020-07-31,Liberty Island,112,0,0,0,0,32
2020-08-01,Franks Tract,141,0,0,0,0,25
2020-08-01,Mildred Island,29,0,3,1,0,9
2020-08-01,Clifton Court Forebay,62,1,12,11,0,23
2020-08-01,Liberty Island,111,0,0,0,0,33
2020-08-04,Franks Tract,138,0,0,0,0,28
2020-08-04,Mildred Island,28,0,0,0,0,14
2020-08-04,Clifton Court Forebay,74,1,5,4,0,25
2020-08-04,Liberty Island,112,0,0,0,0,32
2020-08-05,Franks Tract,130,0,0,0,0,36
2020-08-05,Mildred Island,20,0,0,0,0,22
2020-08-05,Clifton Court Forebay,79,0,5,5,0,20
2020-08-05,Liberty Island,114,0,0,0,0,30
2020-08-08,Franks Tract,115,0,0,0,0,51
2020-08-08,Mildred Island,28,0,0,0,0,14
2020-08-08,Clifton Court Forebay,83,0,0,1,0,25
2020-08-08,Liberty Island,98,0,0,0,0,46
2020-08-09,Franks Tract,89,0,0,0,0,77
2020-08-09,Mildred Island,19,0,0,0,0,23
2020-08-09,Clifton Court Forebay,70,0,0,1,0,38
2020-08-09,Liberty Island,76,0,0,0,0,68
2020-08-12,Franks Tract,128,0,0,0,0,38
2020-08-12,Mildred Island,20,0,0,0,0,22
2020-08-12,Clifton Court Forebay,87,0,0,0,0,22
2020-08-12,Liberty Island,106,0,0,0,0,38
2020-08-13,Franks Tract,115,0,0,0,0,51
2020-08-13,Clifton Court Forebay,76,0,0,1,0,32
2020-08-13,Liberty Island,92,0,2,0,0,50
2020-08-16,Franks Tract,119,0,0,0,0,47
2020-08-16,Mildred Island,6,0,5,4,0,27
2020-08-16,Clifton Court Forebay,71,0,2,8,0,28
2020-08-16,Liberty Island,58,0,0,0,0,86
2020-08-27,Franks Tract,118,0,0,0,0,48
2020-08-27,Mildred Island,9,2,7,6,0,18
2020-08-27,Clifton Court Forebay,52,2,16,15,0,24
2020-08-27,Liberty Island,109,0,1,0,0,34
2020-08-31,Franks Tract,65,0,0,0,0,101
2020-09-01,Franks Tract,91,0,0,0,0,75
2020-09-01,Mildred Island,25,0,0,0,0,17
2020-09-04,Franks Tract,119,0,0,0,0,47
2020-09-04,Mildred Island,6,0,0,26,0,10
2020-09-04,Clifton Court Forebay,65,0,7,14,0,23
2020-09-05,Franks Tract,105,0,0,0,0,61
2020-09-05,Mildred Island,8,0,0,11,0,23
2020-09-05,Clifton Court Forebay,54,0,0,1,0,54
2020-09-15,Liberty Island,40,0,0,0,0,104
2020-09-16,Franks Tract,123,0,0,0,0,43
2020-09-16,Mildred Island,6,0,0,14,0,22
2020-09-16,Clifton Court Forebay,79,0,2,2,0,26
2020-09-16,Liberty Island,96,0,0,1,0,47
2020-09-19,Franks Tract,116,0,0,0,0,50
2020-09-19,Clifton Court Forebay,68,0,0,0,0,41
2020-09-19,Liberty Island,98,0,1,1,0,44
2020-09-20,Clifton Court Forebay,71,0,1,0,0,37
2020-09-23,Franks Tract,121,0,0,1,0,44
2020-09-23,Mildred Island,28,0,0,0,0,14
2020-09-23,Clifton Court Forebay,84,0,0,0,0,25
2020-09-23,Liberty Island,102,0,1,0,0,41
2020-09-24,Franks Tract,117,0,0,0,0,49
2020-09-24,Mildred Island,20,0,0,0,0,22
2020-09-24,Clifton Court Forebay,84,0,0,0,0,25
2020-09-24,Liberty Island,103,0,2,0,0,39
2020-09-27,Franks Tract,122,0,0,0,0,44
2020-09-27,Mildred Island,24,0,0,0,0,18
2020-09-27,Clifton Court Forebay,83,1,0,0,0,25
2020-09-27,Liberty Island,100,1,3,3,0,37
2020-09-28,Franks Tract,115,0,0,2,0,49
2020-09-28,Mildred Island,11,0,0,0,0,31
2020-09-28,Clifton Court Forebay,59,0,0,0,0,50
2020-09-28,Liberty Island,102,0,0,4,0,38
2020-10-05,Franks Tract,129,0,0,0,0,37
2020-10-05,Mildred Island,22,0,0,0,0,20
2020-10-05,Clifton Court Forebay,78,0,1,0,0,30
2020-10-05,Liberty Island,99,1,4,1,0,39
2020-10-06,Clifton Court Forebay,43,0,0,0,0,66
2020-10-09,Liberty Island,85,0,0,0,0,59
2020-10-12,Liberty Island,102,0,2,1,0,39
2020-10-13,Franks Tract,112,0,0,1,0,53
2020-10-13,Mildred Island,21,0,0,0,0,21
2020-10-13,Clifton Court Forebay,81,0,0,0,0,28
2020-10-13,Liberty Island,96,0,3,1,0,44
2020-10-14,Franks Tract,99,0,0,0,0,67
2020-10-14,Clifton Court Forebay,83,0,0,0,0,26
2020-10-14,Liberty Island,82,0,2,8,0,52
2020-10-16,Franks Tract,120,0,0,2,0,44
2020-10-16,Mildred Island,20,0,0,0,0,22
2020-10-16,Clifton Court Forebay,80,0,0,0,0,29
2020-10-16,Liberty Island,102,2,4,3,0,33
2020-10-17,Franks Tract,123,0,0,1,0,42
2020-10-17,Mildred Island,24,0,0,0,0,18
2020-10-17,Clifton Court Forebay,83,0,0,0,0,26
2020-10-17,Liberty Island,110,0,1,1,0,32
2020-10-18,Franks Tract,74,0,2,0,0,90
2020-10-18,Clifton Court Forebay,82,0,0,2,0,25
2020-10-18,Liberty Island,74,0,2,0,0,68
2020-10-20,Franks Tract,117,0,1,0,0,48
2020-10-20,Mildred Island,27,0,0,0,0,15
2020-10-20,Clifton Court Forebay,82,0,0,0,0,27
2020-10-20,Liberty Island,102,0,0,0,0,42
2020-10-21,Franks Tract,103,0,1,0,0,62
2020-10-21,Mildred Island,27,0,0,0,0,15
