Date,Regions,mean_pixel_val
2020-06-25,Sacramento,NA
2020-06-25,San Joaquin,NA
2020-06-26,Central Delta,NA
2020-06-26,Sacramento,0
2020-06-26,San Joaquin,0
2020-06-27,Central Delta,13.156682014465332
2020-06-27,Sacramento,0
2020-06-27,San Joaquin,0
2020-06-28,Central Delta,18.99305534362793
2020-06-28,Sacramento,0
2020-06-28,San Joaquin,0
2020-06-29,Central Delta,NA
2020-06-29,Sacramento,NA
2020-06-29,San Joaquin,NA
2020-06-30,Central Delta,19.819904327392578
2020-06-30,Sacramento,0
2020-06-30,San Joaquin,0
2020-07-01,Central Delta,17.317461013793945
2020-07-01,Sacramento,0
2020-07-01,San Joaquin,0
2020-07-02,Central Delta,20.721649169921875
2020-07-02,Sacramento,0
2020-07-02,San Joaquin,0
2020-07-03,Central Delta,NA
2020-07-03,Sacramento,NA
2020-07-03,San Joaquin,NA
2020-07-04,Central Delta,13.913419723510742
2020-07-04,Sacramento,0
2020-07-04,San Joaquin,0
2020-07-05,Central Delta,14.482758522033691
2020-07-05,Sacramento,0.3505907654762268
2020-07-05,San Joaquin,0
2020-07-06,Central Delta,NA
2020-07-06,Sacramento,NA
2020-07-06,San Joaquin,NA
2020-07-07,Central Delta,NA
2020-07-07,Sacramento,NA
2020-07-07,San Joaquin,NA
2020-07-08,Central Delta,16.67479705810547
2020-07-08,Sacramento,0.495965838432312
2020-07-08,San Joaquin,0
2020-07-09,Central Delta,21.86147117614746
2020-07-09,Sacramento,0
2020-07-09,San Joaquin,0
2020-07-10,Central Delta,NA
2020-07-10,Sacramento,NA
2020-07-10,San Joaquin,NA
2020-07-11,Central Delta,NA
2020-07-11,Sacramento,NA
2020-07-11,San Joaquin,NA
2020-07-12,Central Delta,28.29739761352539
2020-07-12,Sacramento,0
2020-07-12,San Joaquin,0
2020-07-13,Central Delta,32.78854751586914
2020-07-13,Sacramento,0
2020-07-13,San Joaquin,0
2020-07-14,Central Delta,NA
2020-07-14,Sacramento,NA
2020-07-14,San Joaquin,NA
2020-07-15,Central Delta,NA
2020-07-15,Sacramento,NA
2020-07-15,San Joaquin,NA
2020-07-16,Central Delta,15.986486434936523
2020-07-16,Sacramento,0
2020-07-16,San Joaquin,0
2020-07-17,Central Delta,19.10407257080078
2020-07-17,Sacramento,0
2020-07-17,San Joaquin,0
2020-07-18,Central Delta,NA
2020-07-18,Sacramento,NA
2020-07-18,San Joaquin,NA
2020-07-19,Central Delta,NA
2020-07-19,Sacramento,NA
2020-07-19,San Joaquin,NA
2020-07-20,Central Delta,18.492753982543945
2020-07-20,Sacramento,0
2020-07-20,San Joaquin,0
2020-07-21,Central Delta,21.940298080444336
2020-07-21,Sacramento,0
2020-07-21,San Joaquin,0
2020-07-22,Central Delta,NA
2020-07-22,Sacramento,NA
2020-07-22,San Joaquin,NA
2020-07-23,Central Delta,0
2020-07-23,Sacramento,0
2020-07-23,San Joaquin,0
2020-07-24,Central Delta,21.676136016845703
2020-07-24,Sacramento,0
2020-07-24,San Joaquin,0
2020-07-25,Central Delta,13.495238304138184
2020-07-25,Sacramento,0
2020-07-25,San Joaquin,0
2020-07-26,Central Delta,NA
2020-07-26,Sacramento,NA
2020-07-26,San Joaquin,NA
2020-07-27,Central Delta,2.3523316383361816
2020-07-27,Sacramento,0
2020-07-27,San Joaquin,0.5728161931037903
2020-07-28,Central Delta,12.90109920501709
2020-07-28,Sacramento,0
2020-07-28,San Joaquin,0
2020-07-29,Central Delta,6.668508052825928
2020-07-29,Sacramento,0
2020-07-29,San Joaquin,0
2020-07-30,Central Delta,NA
2020-07-30,Sacramento,NA
2020-07-30,San Joaquin,NA
2020-07-31,Central Delta,5.046692371368408
2020-07-31,Sacramento,0.362592488527298
2020-07-31,San Joaquin,0
2020-08-01,Central Delta,10.856115341186523
2020-08-01,Sacramento,0
2020-08-01,San Joaquin,0.31542253494262695
2020-08-02,Central Delta,NA
2020-08-02,Sacramento,NA
2020-08-02,San Joaquin,NA
2020-08-03,Central Delta,NA
2020-08-03,Sacramento,NA
2020-08-03,San Joaquin,NA
2020-08-04,Central Delta,3.069556474685669
2020-08-04,Sacramento,0
2020-08-04,San Joaquin,0
2020-08-05,Central Delta,4.004032135009766
2020-08-05,Sacramento,0.2755584716796875
2020-08-05,San Joaquin,0
2020-08-06,Central Delta,NA
2020-08-06,Sacramento,NA
2020-08-06,San Joaquin,NA
2020-08-07,Central Delta,NA
2020-08-07,Sacramento,NA
2020-08-07,San Joaquin,NA
2020-08-08,Central Delta,0.4810126721858978
2020-08-08,Sacramento,0
2020-08-08,San Joaquin,0
2020-08-09,Central Delta,0.7336956262588501
2020-08-09,Sacramento,0
2020-08-09,San Joaquin,0
2020-08-10,Central Delta,NA
2020-08-10,Sacramento,NA
2020-08-10,San Joaquin,NA
2020-08-11,Central Delta,NA
2020-08-11,Sacramento,NA
2020-08-11,San Joaquin,NA
2020-08-12,Central Delta,0
2020-08-12,Sacramento,0
2020-08-12,San Joaquin,0
2020-08-13,Central Delta,0.5099009871482849
2020-08-13,Sacramento,0
2020-08-13,San Joaquin,0
2020-08-14,Central Delta,NA
2020-08-14,Sacramento,NA
2020-08-14,San Joaquin,NA
2020-08-15,Central Delta,NA
