Date,Name,Non_detect,Low,Moderate,High,Very_high,Invalid_or_missing
2020-09-24,Mildred Island,20,0,0,0,0,22
2020-09-27,Franks Tract,122,0,0,0,0,44
2020-09-27,Mildred Island,24,0,0,0,0,18
2020-09-28,Franks Tract,115,0,0,2,0,49
2020-09-28,Mildred Island,11,0,0,0,0,31
2020-10-05,Franks Tract,129,0,0,0,0,37
2020-10-05,Mildred Island,22,0,0,0,0,20
2020-10-13,Franks Tract,112,0,0,1,0,53
2020-10-13,Mildred Island,21,0,0,0,0,21
2020-10-14,Franks Tract,99,0,0,0,0,67
2020-10-16,Franks Tract,120,0,0,2,0,44
2020-10-16,Mildred Island,20,0,0,0,0,22
2020-10-17,Franks Tract,123,0,0,1,0,42
2020-10-17,Mildred Island,24,0,0,0,0,18
2020-10-18,Franks Tract,74,0,2,0,0,90
2020-10-20,Franks Tract,117,0,1,0,0,48
2020-10-20,Mildred Island,27,0,0,0,0,15
2020-10-21,Franks Tract,103,0,1,0,0,62
2020-10-21,Mildred Island,27,0,0,0,0,15
2020-10-24,Franks Tract,115,0,0,0,0,51
2020-10-24,Mildred Island,28,0,0,0,0,14
2020-10-28,Franks Tract,116,0,2,0,0,48
2020-10-28,Mildred Island,23,0,0,0,0,19
2020-10-29,Mildred Island,15,0,0,0,0,27
2020-11-01,Franks Tract,119,0,0,0,0,47
2020-11-01,Mildred Island,23,0,0,0,0,19
2020-11-02,Franks Tract,109,0,0,0,0,57
2020-11-02,Mildred Island,24,0,0,0,0,18
2020-11-05,Franks Tract,109,0,0,0,0,57
2020-11-05,Mildred Island,22,0,0,0,0,20
2020-11-09,Franks Tract,123,1,0,0,0,42
2020-11-09,Mildred Island,23,0,0,0,0,19
2020-11-10,Franks Tract,90,0,0,0,0,76
2020-11-10,Mildred Island,15,0,0,0,0,27
2020-11-12,Franks Tract,115,0,0,0,0,51
2020-11-12,Mildred Island,23,0,0,0,0,19
2020-11-16,Franks Tract,127,0,0,0,0,39
2020-11-16,Mildred Island,24,0,0,0,0,18
2020-11-20,Franks Tract,127,0,0,0,0,39
2020-11-20,Mildred Island,30,0,0,0,0,12
2020-11-21,Franks Tract,89,0,0,1,0,76
2020-11-21,Mildred Island,12,0,0,0,0,30
2020-11-24,Franks Tract,123,0,0,0,0,43
2020-11-24,Mildred Island,26,0,0,0,0,16
2020-11-25,Franks Tract,114,0,0,0,0,52
2020-11-25,Mildred Island,21,0,0,0,0,21
2020-11-28,Franks Tract,130,0,0,0,0,36
2020-11-28,Mildred Island,29,0,0,0,0,13
2020-11-29,Franks Tract,103,0,2,2,0,59
2020-11-29,Mildred Island,22,0,0,0,0,20
2020-12-02,Franks Tract,128,0,0,0,0,38
2020-12-02,Mildred Island,24,0,0,0,0,18
2020-12-06,Mildred Island,21,0,0,0,0,21
2020-12-07,Franks Tract,126,0,3,0,0,37
2020-12-07,Mildred Island,16,0,0,0,0,26
2020-12-09,Franks Tract,133,0,0,0,0,33
2020-12-09,Mildred Island,29,0,0,0,0,13
2020-12-10,Franks Tract,130,0,0,0,0,36
2020-12-10,Mildred Island,23,0,0,0,0,19
2020-12-14,Franks Tract,128,0,0,0,0,38
2020-12-14,Mildred Island,27,0,0,0,0,15
2020-12-17,Franks Tract,140,0,0,0,0,26
2020-12-17,Mildred Island,29,0,0,0,0,13
2020-12-18,Franks Tract,124,0,0,0,0,42
2020-12-18,Mildred Island,28,0,0,0,0,14
2020-12-29,Franks Tract,141,0,0,0,0,25
2020-12-29,Mildred Island,26,0,0,0,0,16
2021-05-01,Franks Tract,134,0,0,0,0,32
2021-05-01,Mildred Island,30,0,0,0,0,12
2021-05-02,Franks Tract,123,0,0,0,0,43
