Date,Name,mean_pixel_val
2021-10-09,Franks Tract,NA
2021-10-09,Mildred Island,NA
2021-10-10,Franks Tract,0.8432272672653198
2021-10-10,Mildred Island,0
2021-10-11,Franks Tract,0.8211398124694824
2021-10-11,Mildred Island,0
2021-10-12,Franks Tract,NA
2021-10-12,Mildred Island,NA
2021-10-13,Franks Tract,NA
2021-10-13,Mildred Island,NA
2021-10-14,Franks Tract,0
2021-10-14,Mildred Island,0
2021-10-15,Franks Tract,0
2021-10-15,Mildred Island,0
2021-10-16,Franks Tract,NA
2021-10-16,Mildred Island,NA
2021-10-17,Franks Tract,NA
2021-10-17,Mildred Island,NA
2021-10-18,Franks Tract,0
2021-10-18,Mildred Island,0
2021-10-19,Franks Tract,0
2021-10-19,Mildred Island,0
2021-10-20,Franks Tract,NA
2021-10-20,Mildred Island,NA
2021-10-21,Franks Tract,NA
2021-10-21,Mildred Island,NA
2021-10-22,Franks Tract,NA
2021-10-22,Mildred Island,0
2021-10-23,Franks Tract,0
2021-10-23,Mildred Island,NA
2021-10-24,Franks Tract,NA
2021-10-24,Mildred Island,NA
2021-10-25,Franks Tract,0
2021-10-25,Mildred Island,NA
2021-10-26,Franks Tract,0
2021-10-26,Mildred Island,0
2021-10-27,Franks Tract,NA
2021-10-27,Mildred Island,NA
2021-10-28,Franks Tract,NA
2021-10-28,Mildred Island,NA
